username,region,age,gender,haircolor,complexion,undertone,eyecolor,rating,review_time,quality_rating,value_rating,title,content,recieved_sample_points,puchase_again,recommend
zbzbzb,,,,,,,,2 out of 5 stars.,10 days ago  ,0,0,,I love this lipstick formula so I own multiple shades. I recently purchased shade '458 Admired' on Amazon. On this product page the color appears to be an orange/red based brick red but the product I received is a rosy pink shade and I'm pretty disappointed I did not receive the color I was expecting. The tube is labeled with the correct shade name so I'm not sure if the website is displaying the wrong color or tubes were labeled incorrectly and the wrong color is being sold under the shade '458 Admired'.,No,,
PrincessWy,"Westerly, Rhode Island",25 to 34,Female,Dark Blonde,Medium,Warm Undertone,Dark Brown,1 out of 5 stars.,18 days ago  ,5,5,,I was so excited to buy this product and when I tried it it was a complete disappointment! It was so patchy. You also cannot build on the color and make it darker. I like that it’s lightweight but definitely not working.,No,No,No
Chartreuse,Ohio,25 to 34,Female,Darkest Brown,Medium,Warm Undertone,Hazel,5 out of 5 stars.,20 days ago  ,5,5,,"My weird skin tone just doesnt seem to take well to most cosmetics found in a drug store that are actually affordable. I'm stuck buying more expensive brands with more specialized colors. As a broke student, that means I have to limit how much and how often I use makeup, which I hate because I love playing around with makeup looks. I picked up I Amaze on sale at Walmart in the chance that it wouldnt be a disaster on my skin. Much to my surprise, it is PERFECT. I Amaze is a warm red-orange that must have been created just for me because it looks amazing when I put it on my impossible-to-get-right skin. And the formula...oh my goodness...it glides on feather light (JUST like an ink or stain), it is full coverage, and it stays put.
Won't even mention how pleased I am with the price even when not on sale.
Congratulations on a wonderful product, L'oreal! Thank you so much for allowing me to have cosmetics that look good on me and dont cost a whole semester's tuition!",No,Yes,Yes
reganalexis1923,,35 to 44,Female,Medium Blonde,Fair,Warm Undertone,Blue,1 out of 5 stars.,22 days ago  ,5,5,,"I was so excited for this product... and then so disappointed by it. I bought three shades (one nude, two reds) in the first release and just do not get how this turned out so badly! It's one of the most transferring lip colors I've ever tried and doesn't stain my lips at all. I love the inky texture but wasn't the whole point of this to be long lasting and feel like you're not wearing lipstick? Well I definitely felt like I wasn't wearing lipstick... because I wasn't after about thirty minutes, as any trace had vanished from my lips!",No,No,No
Always_Patty75,"Wilkes Barre, PA",35 to 44,Female,Dark Blonde,Light,Warm Undertone,Blue,1 out of 5 stars.,a month ago  ,5,5,,"I was really excited to receive a free sample of your Rouge Signature matte colored ink and was unfortunately disappointed when I tried it. It did truly remind me of an ink, in the way that it stained my lips and ended up on my teeth. The color was lovely, but it went on very messy and even after a few minutes did not appear matte. I have always enjoyed your other products and I will continue to try them in the future, but I truly prefer your Color Riche lipstick over the matte ink.",No,No,No
Anna29229,Birmingham,18 to 24,Female,Light Brown,Medium,Warm Undertone,Hazel,1 out of 5 stars.,a month ago  ,5,5,,"Feels like putting water on my lips drys after 5 seconds and don’t add any glitter or moisture to the lips, would not buy again much better lip products out there.",No,No,No
Anghess,"Dallas, Texas",,,,,,,5 out of 5 stars.,a month ago  ,0,0,Best lipstick ever!,"This lipstick is so great! It literally stays on from 5:30 am until lunch time. All of my co workers are amazed also! There is a variety of colors to choose from awesome. You can go to a dark brown to a bright red. I still can't believe I can put on lipstick in the morning, eat breakfast, drink coffee & water, go to lunch and still see color on my lips! Amazing!!!",Yes,,Yes
Jam4,NYC,,,,,,,5 out of 5 stars.,a month ago  ,0,0,Smooth & Easy application,I was a little apprehensive about the brush head but it made application very easy! The perfect amount came off and went on very smooth! It was long-lasting.,Yes,,Yes
Meg2,DE,,,,,,,2 out of 5 stars.,a month ago  ,0,0,Long lasting,These are long lasting and a great matte liquid lipstick but it dries the lips so you will feel like either taking it off or putting on some lipbalm to moisturize.,Yes,,Yes
Court the boy mom,Terrell tx,,,,,,,5 out of 5 stars.,a month ago  ,0,0,I love love love this lipstick,First off I love this lipstick it's hard to find colors that look good on me and two out of three looked amazing and I'm not even mad about the third the only issue I had it my lips are naturally really dry and it made them seem extra dry. But I love them,Yes,,Yes
Mama_Alps,"Boston, MA",,,,,,,5 out of 5 stars.,a month ago  ,0,0,Luxurious Lip Color,"L'Oreal Rouge Signatue, Lasting Matte Liquid Lipstick is a great lipstick. It lasts forever- so be sure you are ready for it! It is thick but not tacky. It's a beautiful shade and makes me feel put together. Love it!",Yes,,Yes
chitownrunner,"Chicago, IL",,,,,,,5 out of 5 stars.,a month ago  ,0,0,Absolutely exceeded expectations,"Wow this stuff is amazing. Tons of products out there advertise that they are long lasting but come off with a sip of my morning coffee. Not this stuff. Incredibly long lasting and have a beautiful vibrant matte color. Only ""complaint"" is that it is difficult to get off even with makeup remover - I dont find that to be much of an issue though.",Yes,,Yes
Lindsey1,USA,,,,,,,5 out of 5 stars.,a month ago  ,0,0,Very good product!,"I have never been big on gloss or liquid type lip products, I didn't like the sticky and wet feeling of them- after I went through the 90's sticky glitter gloss phase that is! I saw this and really liked the colors they had but I was hesitant to think I would really like them a lot being a liquid lipstick. I was wrong! This is actually a really neat product. The wand is really fancy with an angled end and a spade shaped applicator tip. The tip is soft and comes to a nice small point at the very end so that you can get the product where you want it and keep it from going where you don't. It goes on extremely smooth and glides across my lips smoothly and evenly. Right after application my lips appear really wet and shiny, (circa glitter gloss days) but it dries pretty quickly to a nice matte finish. If you mess up by chance it doesn't dry so quickly that you can't fix it, but you won't be waiting 5 minutes for it to dry either. I love that once it's dry it's not sticky or wet, and it doesn't make my lips dry out at all. I have experimented with blotting lightly before it dries if I don't want the color so deep or vivid on a particular day and it still looks great. I have also dabbed on a bit of chapstick on top with good results as well when my lips were feeling a bit chapped. I really like the finished look of these liquid lipsticks, and they really do last longer than most of my other lip products. It doesn't transfer too badly to anything like straws or glasses and it can hold up to even swimming. I love the matte finish and that it doesn't taste gross, or feel funny. It looks pretty and I really appreciate the colors and the ease of application. I have thin pointed lips and that applicator really comes in handy and is super precise. I highly recommend this line, even to those who generally don't like liquid lip products. It's not your average liquid and it has outperformed most of my regular lip products. Overall great product and I would recommend it to everyone!",Yes,,Yes
Dunngrlsmom08,Central Point OR,,,,,,,5 out of 5 stars.,a month ago  ,0,0,"I would buy this again, beautiful colors.","I love these matte lipsticks. They go on nice and smooth. No chunks or gunk. The matte color shows up very nice and even. It stays on all day, which is so nice that you don't have to reapply over and over. Over all the Rouge Signature lasting Matte liquid lipstick is my go to for everyday wear and when I go out on the town.",Yes,,Yes
Amber5,New York,,,,,,,5 out of 5 stars.,a month ago  ,0,0,Stays where you apply,"I like this. It's smooth, silky and moisturizing. The colors are rich and vibrant. You can take this into day or night because it lasts just that long!",Yes,,Yes
jmwiita,"Santa Clarita, CA",,,,,,,2 out of 5 stars.,a month ago  ,0,0,Doesn't stay,The colors of this lipstick are very pretty but it doesn't stay on your lips. It rubbed off on my clothes.,Yes,,No
Sammy28SLH,Cleveland Oh,,,,,,,5 out of 5 stars.,a month ago  ,0,0,Very good! Not sticky at all!,This went on like a stain but did not leave my lips with a dry or sticky feeling. It feels very natural and stayed on for a long time! I can't wait to get more in different shades!,Yes,,Yes
Kira S,"Tallahassee, FL",,,,,,,5 out of 5 stars.,a month ago  ,0,0,A lasting lipstick that really does last all day!,"I am a huge fan of matte liquid lipsticks. I have used a lot of high end ones before. This L'Oréal lasting matte lipstick holds up against my more expensive ones. I love how it feels on my lips. Sometimes matte lipsticks can be drying, but this one is not and feels great on. I put it on in the morning before work and it was still there at the end of the day! Highly recommend!",Yes,,Yes
Becky4,"Dallas, Tx",,,,,,,3 out of 5 stars.,a month ago  ,0,0,Long lasting for sure!,The best thing about this lipstick is how long lasting it really is! It does not bulge and will stay on all day! Beside that though there are many things that I don't like. None of the colors that I got really went with me but I was able to mix it with other colors to get a better color that worked for me. When applying the lipstick it is really wet and feels strange. It was a different adjustment as I'm not used to liquid lipstick feeling so wet that it could slide off my lips. Also the applicator was really big which was hard for me since my lips are not that big. This lipstick didn't stand up to my expectation but it truly is long lasting lip color.,Yes,,No
Kell2,"Houston, Tx.",,,,,,,5 out of 5 stars.,a month ago  ,0,0,Highly recommend!,I am in love with this L'oreal Paris lasting Matte Liquid lipstick! I would recommend it everyone. The applicator is pointed to help with fine lines. It dries very quickly and is very light weight!,Yes,,Yes
Sindhuja,Phoenix,,,,,,,5 out of 5 stars.,a month ago  ,0,0,Beautiful color and long lasting,I loved the color options presented and it was holding up pretty well. More than I expected without fading and giving me the fresh look as I applied in the morning. The applicator is thoughtfully designed so as to reach all places with ease and give a nice shape to apply. Be it for special occasions or for every day wear I would recommend this to all. I liked that it did not feel very heavy and did not have a strong smell so it is easy on you. So attractive looking and doesn't stick on food or cups.,Yes,,Yes
CattFanelli,"New Hyde park, NY",,,,,,,3 out of 5 stars.,a month ago  ,0,0,Similar to many other products.,"I was given the opportunity to test these L'Oreal Paris Rouge Signature, Lasting Matte Liquid Lipsticks! I love the bottles, but I don't like how hard it is to find the name and shade number on the bottom of the bottle. I do like the applicator which is a doe foot which makes lining the lips and accentuating them easy without using lip liner. I'm letting you know right off the bat that I am comparing them to the L'Oreal infallible pro mat liquid lipstick Les macarons, AND there is no comparison, the infallible blew them away. The rouge lippies don't hold up and come off after eating and drinking. They are very sheer and need about 3/4 coats. They smell good and feel extremely hydrating which I like, but this product would need to be reapplied multiple times throughout the day. I suggest buying these if you would like to use them on top of another lip color or a lip liner, then they would work fabulously! They don't give off a dry matte look. They sort of feel like velvet. But long lasting shouldn't be in the name at all.",Yes,,No
MandyHS,Arkansas,,,,,,,3 out of 5 stars.,a month ago  ,0,0,"Great colors, not long lasting","I really enjoyed the colors of this product. All three are something I can see myself wearing out on various occasions. One of the three colors is an excellent every day wear lipstick for me. Unfortunately, the claims of it being long lasting weren't accurate. The lipsticks did not stay on drinking cold or hot beverages, eating or kissing. They transferred easily on to both my napkin and my fiancé (much to his dismay). I think it's a great lipstick overall, but I'd take the claims of it being long lasting off the shelf. I will note that they did not dry out my lips like a lot of long lasting lipsticks, which I certainly appreciated.",Yes,,Yes
Talea,TX,,,,,,,3 out of 5 stars.,a month ago  ,0,0,Not my favorite...,"The packaging is nice and I do like the doe foot applicator, but the formula is not my favorite at all. The shades are shown as very dull in the bottle, but once on the lips they are super vibrant which I did not care for. The formula itself is very lightweight and wet once applied, but it does not dry down completely so i ended up getting it everywhere. If I'm going to wear a matte lipstick, it has to dry completely otherwise I don't see the point.",Yes,,No
ThatGirlDee,"Orange County, Ca",,,,,,,5 out of 5 stars.,a month ago  ,0,0,Great matte lipstick!,"This is the first time trying L'Oréal Rouge Signature, Lasting Matte Liquid Lipstick and I really like it. These are great for an everyday look. It's not sticky at all and very lightweight on your lips. There is a wide variety of colors to choose from. The applicator is easy to use, the texture is creamy and smooth to apply. The lipstick doesn't leave your lips dry like many other Matte Liquid Lipsticks. I applied it early in the morning when I applied my makeup for an event and came home about 8 hours later and the lipstick was still on my lips. I ate and drank at the event and it did not budge. It is very long lasting and also easy to remove with makeup wipes. I recommend this and will be getting other colors.",Yes,,Yes
Jacjac07,"Ocean Springs, MS",,,,,,,4 out of 5 stars.,a month ago  ,0,0,"Easy application, fast drying",I received this product free in return for honest review. The brush applicator makes applying lip stick easy without wasting a lot of product. The lipstick dries pretty quickly. One downfall is that it wipes off easily I had to reapply after eating or drinking.,Yes,,Yes
Jessilynn1,Florida,,,,,,,4 out of 5 stars.,a month ago  ,0,0,I will continue to purchase this product again and,Let me just start by saying I really like this lipstick. The unique design of the brush contours to your lips. The varieties of different shades was also wonderful because it gave you more options to match any style day wear or night wear.,Yes,,Yes
Andrea2,Girard pa,,,,,,,5 out of 5 stars.,a month ago  ,0,0,Lasted way longer than I thought,I absolutely loved the colors I tried...I tried one yesterday early afternoon a lighter one and then it was still on in the evening so I put a darker shade on and was still on when I went to bed,Yes,,Yes
Katie busy mom,"Greenville, mi",,,,,,,5 out of 5 stars.,a month ago  ,0,0,This is my current go to,The look and feel of this lipstick is wonderful! It drys quickly so i can kiss my son without leaving him with kiss marks! The color lasts for quite a few hours without touch up!,Yes,,Yes
TheKat,Denver CO,,,,,,,5 out of 5 stars.,a month ago  ,0,0,All day wear!,"I'm a flight attendant and always looking for a great LONG lasting lipstick that will last me all day. I find most highly pigmented matte lip colors will separate on my lips about 3-4 hours in, or they are simply way to dry. I've always been a big L'Oreal fan so decided to give this a try.",Yes,,Yes
Lisa the Mommy,Virginia,,,,,,,5 out of 5 stars.,a month ago  ,0,0,My favorite lipstick,"Loreal Rouge Signature, Lasting Matte Liquid Lipstick is wonderful! It says on your lips for hours without your lips feeling dry. It's not hard to take off either. I love the colors. I have never really been a fan of lipstick, but I really like this liquid lipstick. This will definitely be the only kind of lipstick I will use.",Yes,,Yes
AA10,"Florence,SC",,,,,,,5 out of 5 stars.,a month ago  ,0,0,Would purchase again,I wore it to work and it lasted a really long time and it didn't dry out my lips.,Yes,,Yes
Alesara1,El paso Texas,,,,,,,5 out of 5 stars.,a month ago  ,0,0,I really loved them,"They do not dry the lips, very fixed colors, high durations, fashionable colors, I highly recommend them are low price and great quality",Yes,,Yes
Shristishr1,"Tampa, Florida",,,,,,,5 out of 5 stars.,a month ago  ,0,0,Amazing,Amazing colours... i love how pigmented they are on my lips.. they are runny but still has that powerful pigment.. amazing.,Yes,,Yes
EE10,"Columbus, Ohio",,,,,,,5 out of 5 stars.,a month ago  ,0,0,Love,Beautiful shades. Matte And Long lasting. They apply smoothly and don't clump or peel and aren't too drying. I love these liquid Lips!,Yes,,Yes
Sajj,"Monore, NJ",,,,,,,5 out of 5 stars.,a month ago  ,0,0,Rouge signature lasting matte Liquid Lipstick,"L'Oreal Rouge signature lasting matte Liquid Lipstick I received it from powerreview sampling program, great matte lip, I absolutely love them, these are incredibly long lasting, works great specially traveling! I would definitely buy again.",Yes,,Yes
Mamc198347,"Monroe, Michigan",,,,,,,4 out of 5 stars.,a month ago  ,0,0,Great colors,I like the applicator for this. The applicator really allows you to get right to the edge of the lip. L'oreal always has some great colors. The color lasts for a really long time. Once it dried it didn't come off on my cup. The only downside i came across was the scent. Not my favorite. But all in all it is another great L'oreal product,Yes,,Yes
Paulicakes,Tn,,,,,,,5 out of 5 stars.,a month ago  ,0,0,Incredible Product,"When I first tried these lipsticks I was confused at how watery the texture was, however when I tried them on they're actually more so lip stains not lipsticks! I love them! Completely transfer proof when dry, and beautiful vivid colors! Definitely obsessed.",Yes,,Yes
Kila,"Albany,OR",,,,,,,4 out of 5 stars.,a month ago  ,0,0,Interesting formula,"I tried all three of these liquid lipsticks on and compared shades. I liked the one that was more of a nude color. The other two were way to bright for me. I cant put my finger on the formula though. It feels so weird. The lipstick does stay on all day but it does transfer, but i did not notice any smudging.",Yes,,Yes
,"Sneads Ferry, NC",,,,,,,5 out of 5 stars.,a month ago  ,0,0,Kissable and missable!,"I received a sample of L'Oréal rogue signature lasting matte liquid lipstick through the viewpoints sampling program. Prior to testing these out I have tried other L'Oréal products but have never heard of this specific product.
I really liked the potent colors of these lipsticks! They were really pretty and had a deep rich color that didn't fade out during the day. They stayed fresh looking and moisturized. I really like how this lipstick is in liquid form because I feel like it makes it last longer on my lips without getting into the creases. It went on smoothly and looked beautiful. I will definitely be using it again and recommending it to my friends! Compared to other products, I liked this one even better then other lip sticks.",Yes,,Yes
Ally2,WA,,,,,,,4 out of 5 stars.,a month ago  ,0,0,I was actually really surprised at how much I like,and generally by higher brand makeups but wanted to try this one and I was very surprised the brush is great for precision for the upper lip it does take a second for the product to dry to become a matte lip. but the color pigment is nice and I am really digging the product overall,Yes,,Yes
Maya1,Irving,,,,,,,5 out of 5 stars.,a month ago  ,0,0,Perfect matte lipsticks,I totally love these matte lipsticks. They are not very drying on the lips which I like because my lips can be easily dried and chapped. They are transfer resistant and applies very smoothly. They give the lips most defined and lustrous look. I had never been so in love with matte lipsticks before trying these. There are three things that I am in absolute love with these lipsticks are the shade range next the staying power and the awesome applicator. I will definitely purchase more colors.,Yes,,Yes
KellyC1,"Westerville, OH",,,,,,,4 out of 5 stars.,a month ago  ,0,0,Really liked it!,"I really liked this product. I definitely prefer a matte lip shade and this delivered! I would say the consistency is comparable to to NYX lip lingerie, though it seems like it lasts longer. I would purchase it in the future.",Yes,,Yes
Tiffany5,Lexington NC,,,,,,,5 out of 5 stars.,a month ago  ,0,0,Beautiful color,"The rouge signature, lasting matte liquid lipstick is absolutely wonderful I love this color it reminds me of a coral. It goes on feeling wet but drys fast into a beautiful matte finish.",Yes,,Yes
Mo14,Michigan,,,,,,,3 out of 5 stars.,a month ago  ,0,0,Love the colors,I really love these colors however the formula seems a bit thin and I needed to apply a lot of coats. 436 seemed to be the most sheer of the three I received. 436 however was the hardest one to get off and even left a reddish/pink stain. The packaging feels nice and the wand tips worked well to apply. Overall the colors are super cute and although they are not my favorite I'll definitely continue to use them.,Yes,,Yes
Marcia1,Jacksonville Florida,,,,,,,5 out of 5 stars.,a month ago  ,0,0,"Smooth, thin, long lasting","I loved this liquid lipstick. The formula is nice and smooth and thin. You could easily layer it but I didn't need multiple layers as it is very pigmented. Nice smell, beautiful packaging. Would definitely buy this product again.",Yes,,Yes
Jepaul,Iowa,,,,,,,4 out of 5 stars.,a month ago  ,0,0,Great product,Great quality for the price! Long lasting product and easy to wear. Rich colors that compliment. Great formula that is lightweight.,Yes,,Yes
Abby4,"Long Beach, CA",,,,,,,5 out of 5 stars.,a month ago  ,0,0,One of my favorite!,I love the variety of colors depending on my mood and it stays longer all day at work. Will buy this product again.,Yes,,Yes
Cdtorix,"Chandler, ok",,,,,,,4 out of 5 stars.,a month ago  ,0,0,Vibrant color,"I love how vibrant the color of the rogue signature matte liquid lipstick is. And I like that it does not have nearly as much of a sticky feel as a lot of smiliar products. While it did not come off on my coffee cup or when I ate, it did fade by about 6 hours in and need to be reapplied.",Yes,,Yes
chmaine3,"Houston, TX",,,,,,,4 out of 5 stars.,a month ago  ,0,0,Pretty good for a lip stain!,"I'm usually not a huge fan of lip stains but these are really decent! A lot of lip stains fade in an unflattering way but these do not. They aren't as drying as a lot of similar products I have tried, which is nice. I can get about 4 hours of wear out of these before I feel the need to reapply, which is pretty standard. I like that it's easy to reapply too - a lot of products like this will get darker in certain patches, etc. but these reapply quite nicely. The scent is a little sweet but thankfully nothing like the signature L'Oreal bullet lipstick scent! I hope they release more nude shades, as I find those best for the lip stain formula, though they do have plenty of fun summery colors as well. Overall I recommend them!",Yes,,Yes
Andrea5,"Brooklyn, NY",,,,,,,4 out of 5 stars.,a month ago  ,0,0,Sheer wash of color - 436 Radiate,"When I first saw this bright coral, I was a bit worried that it might be a bit too much for work. However, this gel-like liquid lipstick went on smoothly and evenly. It didn't leave my skin feeling dry or show every flaky on my lip. The color went on sheer and didn't budge after drying. It definitely feels more like a stain than a liquid lipstick though. The leaf-shaped doe-foot applicator took a bit to get used too. I definitely want to try more of the colors especially the purples. I feel like it would make a perfect base for another color.",Yes,,Yes
Vgarc,"Burleson, Texas",,,,,,,5 out of 5 stars.,a month ago  ,0,0,Absolutely my favorite lipstick!!,"Definitely recommend this product! Love the color. Long lasting stain, definitely easy lip applicator tip. Makes it super easy to apply and follow your natural lips outline. Dries fast, does not come off like others do on cups or when eating.",Yes,,Yes
RDCH,"Los Angeles, CA",,,,,,,5 out of 5 stars.,a month ago  ,0,0,Pigmented & lightweight matte liquid lipstick that,"When L'Oreal describes this liquid lipstick as lasting, they really mean it! This Rouge Signature Lasting Matte Liquid Lipstick to me is like a combination of a lip stain and a liquid lipstick. I'm not usually a matte lipstick person, but this one is superb and looks great when applied correctly. It has the lightweight feeling of a lip stain but it's highly pigmented a packs a glamorous punch like a liquid lipstick. The formula feels comfortable to me and doesn't make my lips feel heavy. It's a buildable lipstick and it does a great job keeping my lips moisturized and picture perfect throughout the day. What I like about the formula is that it doesn't settle in between the lines and wrinkles of my lips but instead fills those lines in somewhat to create a fuller plumper lip.",Yes,,Yes
Mitra1,"North Little Rock, AR",,,,,,,4 out of 5 stars.,a month ago  ,0,0,Nice Lipstick!,"The L'Oreal Paris Rouge Signature, Lasting Matte Liquid Lipstick is a quality product. It dries quickly and the 3 shades that I tried were all pretty colors. It is not as long lasting as some of my other liquid lipsticks though. I would buy this in the future even though it did leave my lips a little dry. I would recommend it to anyone who doesn't mind reapplying several times throughout the day.",Yes,,Yes
Debbie Reviews,"Sacramento, CA",,,,,,,3 out of 5 stars.,a month ago  ,0,0,Easy to apply,"I liked how this product was simple to apply and liked the applicator. The color showed up immediately. I however do not think the product is long lasting at all and would need to be applied constantly throughout the day. It also comes off very easily, especially when you eat or drink. It is not as long lasting as a lip crayon or lip stain product. I would not recommend this product to others. I was not aware of this product before receiving the sample.",Yes,,No
TiaraW,Oregon,,,,,,,5 out of 5 stars.,a month ago  ,0,0,Loving this Lippy!,"This lipstick is Amazing it lasts and i like that It stays on for hours so i can wear it all day, touching it up maybe once or twice just to give it more brightness but that's it. It goes on shiny but dries matte. The wand is unique and i like the triangle look and feel of it. Definitely a new favorite. To fully get this off i recommend using a lip scrub.",Yes,,Yes
Rachelle1,Ogden Utah,,,,,,,5 out of 5 stars.,a month ago  ,0,0,Perfect liquid lipstick,I'm always cautious about believe if a lipstick is long lasting especially a liquid one. They are hard to find. But I absolutely love this one. It does last a lot longer than expected and than other competitors. It stays shiny and smooth for hours. I also love the color. Bright and vibrant,Yes,,Yes
Lulu2405,Michigan,,,,,,,5 out of 5 stars.,a month ago  ,0,0,Staying Power!,"Wow! I have worn several matte lipsticks in the past year, and this one is by far the best. It stayed on the entire day, I even took a shower and it was still on. This lipstick is almost like a stain, I love the color selection and the way it glides on and sets in immediately. There is no need to buy a more expensive, similar product, this one is a real value.",Yes,,Yes
DebTN1,Memphis,,,,,,,5 out of 5 stars.,a month ago  ,0,0,Lasts and lasts!,"They call this ""Lasting Matte"" and that's a very accurate description. I'm so used to lipstick that has to be reapplied often that I found myself wanting to touch it up purely by habit, but touchups were totally unnecessary. Love the variety of shades, something for everyone and every mood or occasion. High quality product that feels like I'm pampering myself!",Yes,,Yes
Steph20,"Gibsonia, pa",,,,,,,5 out of 5 stars.,a month ago  ,0,0,Love the colors!,"I really like how bright the colors are. Once the lipstick dries, the color stays on. The applicator brush is at an angle, and that makes it super easy to apply",Yes,,Yes
Nicole6,"Roanoke,Va",,,,,,,3 out of 5 stars.,a month ago  ,0,0,Bold and bright,"I love the colors of these lipsticks. They are very bold and bright. The only only reason I didn't give it 5 stars is because the actual lipstick comes off pretty fast. You do have to reapply it often. It also comes off on cups or spoons, forks, napkins, etc.",Yes,,No
