category,main_category,name,num_reviews,price,rating
Facial Moisturizer,Skin Care,Triple Power Anti-Aging Moisturizer  ,4654,$24.99 ,4.4
Face Mask,Skin Care,Multi-Mask Clay Tripod Kit  ,4,$9.99 ,5
Hair Treatments,Hair Care,Burst of Sweet Pear Tangle Tamer for All Hair Types  ,20,$3.49 ,4
Conditioner,Hair Care,Color Vibrancy Protecting Conditioner ,90,$4.99 ,4.4
Shampoo,Hair Care,HydraCharge Shampoo  ,1588,$7.99 ,4.4
Shampoo,Hair Care,Frizz-Defy Shampoo  ,2123,$7.99 ,4.3
Eye Shadow,Makeup,24 HR Eye Shadow ,190,$7.99 ,4.7
Eyeliner,Makeup,Superstar Liner ,25,$9.99 ,2.6
Eyebrow Makeup,Makeup,Kabuki Blender ,1671,$12.99 ,3.8
Eyebrow Makeup,Makeup,Boost & Set Brow Mascara ,190,$10.99 ,4.2
Highlighters,Makeup,Crushed Foils Metallic Highlighter ,3,$12.99 ,4.7
Highlighters,Makeup,Bronze Please! ,124,$14.99 ,4.8
Facial Cleanser,Skin Care,Deep Facial Cleanser  ,111,$6.99 ,4.3
Eye Cream,Skin Care,Eye Defense  ,37,$13.89 ,3.9
Self Tanner,Skin Care,Tinted Self-Tanning Lotion Medium Natural Tan  ,66,$10.99 ,3.7
Facial Moisturizer,Skin Care,Cell Renewal* Day SPF 15 Cream  ,982,$24.99 ,4.3
Facial Cleanser,Skin Care,Bright Reveal Brightening Daily Peel Pads  ,1609,$19.99 ,4.3
Facial Moisturizer,Skin Care,Bright Reveal Brightening Day Moisturizer SPF 30  ,1464,$19.99 ,4.5
Facial Moisturizer,Skin Care,Bright Reveal Brightening Dual Overnight Moisturizer  ,1633,$19.99 ,4.5
Face Mask,Skin Care,Exfoliate & Refining Face Mask  ,1993,$12.99 ,4.6
Face Mask,Skin Care,Detox & Brighten Face Mask  ,5266,$12.99 ,4.5
Facial Moisturizer,Skin Care,Daily Liquid Care - Normal/Oily Skin  ,747,$17.99 ,4.5
Facial Moisturizer,Skin Care,Daily Liquid Care - Extra Dry Skin  ,659,$17.99 ,4.5
Facial Moisturizer,Skin Care,Daily Liquid Care - Normal/Dry Skin  ,1113,$17.99 ,4.5
Facial Cleanser,Skin Care,Complete Cleanser - Normal To Oily Skin  ,1157,$9.99 ,4.5
